Label,Scammer,scam type,trick type,attack type,reason
1,URGENT: Your account has been compromised! The FBI (fbi.gouv) has notified us of suspicious activity. Click this link to secure your account and avoid legal action: https://fbı.gov.update-account.com,Phishing,"Authority, Playing on Emotions",Homograph Attack,"['Uses a sense of urgency to create anxiety', 'Claims to be from a trusted authority (FBI) to establish credibility', 'Uses a homograph attack (ı instead of i) to make the URL appear legitimate', 'Asks the user to click on a suspicious link', 'Threatens legal action to play on emotions', 'The URL is not an official FBI website']"
0,No. She's currently in scotland for that.,,,,
0,It shall be fine. I have avalarr now. Will hollalater,,,,
0,Thanks for this hope you had a good day today,,,,
0,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,,,,
0,Well. You know what i mean. Texting,,,,
0,Dun need to use dial up juz open da browser n surf...,,,,
0,"I'd say that's a good sign but, well, you know my track record at reading women",,,,
0,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",,,,
1,Of course! Here are the augmented texts with varied names:,,,,
0,Gud ni8 dear..slp well..take care..swt dreams..Muah..,,,,
0,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",,,,
0,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,,,,
1,URGENT: Your PayPa1 account has been temporarly locked due to suspicous activty. Click here to reactivate: https://pаypal.com/reactivate-now,Phishing,"Scarcity, Making Unsolicited Offers","Homograph Attack, Intentional spelling mistakes","[""Creates a sense of urgency with 'URGENT' to prompt immediate action"", ""Uses scarcity tactic by stating the account is 'temporarly locked'"", ""Makes an unsolicited offer to 'reactivate' the account"", ""Employs homograph attack by using 'pаypal.com' instead of 'paypal.com'"", ""Contains intentional spelling mistake 'temporarly' instead of 'temporarily'"", 'Asks the user to click on a suspicious link']"
0,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",,,,
0,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,,,,
0,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",,,,
0,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u ,,,,
0,Hi dis is yijue i would be happy to work wif ü all for gek1510...,,,,
1,Hello esteemed customer! Thank you for exploring our platform. With direct sourcing we offer unparalleled prices. I'd like to showcase our top-selling phone the 1520 FE. It's celebrated for its exceptional features. Don't hesitate! Order within the next hour make full payment and receive an incredible 70% cashback after delivery.,,,,
0,Oh Howda gud gud.. Mathe en samachara chikku:-),,,,
0,Pepperfry item (Yukashi 3 Door Wardro...) delivery rescheduled. Our team was unable to reach you on your registered contact number to confirm your availability. We will call you in 24 hours to re-schedule the delivery.,,,,
0,Hi Harish's rent has been transfred to ur Acnt.,,,,
0,Wot about on wed nite I am 3 then but only til 9!,,,,
0,That is wondar full flim.,,,,
0,WHO ARE YOU SEEING?,,,,
0,When you guys planning on coming over?,,,,
1,U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,,,,
0,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",,,,
0,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",,,,
0,"Your Citibank Shipment is dispatched via Bluedart AWB#30905055112 to your address with PINCODE 201304, will be delivered by 21-JUN-23.Track us on https://bdtrck.page.link/Tkuek",,,,
0,Just got outta class gonna go gym.,,,,
0,Alert! Your PayPal account has been flagged for unusual activity. Click here to review and secure your account: https://www.paypal.com/security,Phishing,"Scarcity, Emotional Manipulation","Intentional spelling mistakes, Homograph Attack","['It uses the official PayPal URL', ""It doesn't create a sense of urgency to act immediately"", ""It doesn't mention a specific amount of money to be lost"", 'It uses proper spelling and grammar', ""It doesn't use a homograph attack (using a similar domain name)""]"
0,Speak only when you feel your words are better than the silence... Gud mrng:-),,,,
0,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",,,,
0,I send the print  outs da.,,,,
1,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,,,,
0,I dont thnk its a wrong calling between us,,,,
0,"Hi, We are happy to inform that services for your Airtel Xstream Fiber have been resumed. You can now experience seamless service.Thank you for your cooperation",,,,
0,But i haf enuff space got like 4 mb...,,,,
0,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",,,,
0,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,,,,
0,I AM AT A PARTY WITH ALEX NICHOLS,,,,
0,"Did you say bold, then torch later. Or one torch and 2bold?",,,,
0,Hey... Very inconvenient for your sis a not huh?,,,,
0,"Text me when you get off, don't call, my phones having problems",,,,
0,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?",,,,
0,Where are you?when wil you reach here?,,,,
0,"sorry brah, just finished the last of my exams, what up",,,,
0,Play w computer? Aiyah i tok 2 u lor?,,,,
1,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",,,,
1,"URGENT: According to the Federal Trade Commission (FTC), 75% of accounts at Chase Bank have been compromised. Click on https://chase-bank.security.com to secure your account immediately. - Chase Bank Security Team",Phishing,"Authority, Using Fake Statistics or Data",Homograph Attack,"['Uses a sense of urgency to create panic', 'Claims to be from a trusted authority (FTC and Chase Bank)', 'Uses fake statistics (75% of accounts compromised) to create a sense of danger', 'Uses a homograph attack (chase-bank.security.com instead of chase.com) to trick the user into visiting a fake website']"
0,"It's cool, we can last a little while. Getting more any time soon?",,,,
0,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,,,,
0,No no:)this is kallis home ground.amla home town is durban:),,,,
0,URGENT: We've noticed unusual activity on your PayPal account. Click here to review and secure your account: https://www.paypal.com/security,Phishing,"Scarcity, Using High-Pressure Sales Tactics","Intentional spelling mistakes, Homograph Attack","['It uses the official PayPal domain', ""It doesn't ask for sensitive information"", ""It's a legitimate security concern, not a fake one"", 'The language is clear and concise, not trying to create panic']"
0,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...,,,,
0,Or i go home first lar ü wait 4 me lor.. I put down my stuff first..,,,,
0,I want to be there so i can kiss you and feel you next to me,,,,
0,"Some friends want me to drive em someplace, probably take a while",,,,
0,"Dear Customer, Kindly note that your registration for YES Mobile has been successfully completed through SM-F926B on March 26, 2022 11:19:35 AM IST. In case this transaction is not performed by you, SMS <BLKMB> <CUSTID> to 9840909000 to block Mobile Banking services. Warm Regards,YES Bank",,,,
1,Good day Sir. With our FAMILYSAFE plan your family can benefit from a coverage of 2 lakh at a premium of Rs. 10000. Act quickly as this offer is valid only for today. Pay upfront to receive the policy at a discounted rate of Rs. 50,,,,
1,"Urgent: Your PayPa1 account has been compromized. Click here to secure your account now! https://paypa1.com/secure (If you dont act now, your account will be suspended permanantly)",Phishing,"Authority, Using Fake Limited-Time Offers to Create a False Sense of Urgency","Intentional spelling mistakes, Homograph Attack","['Uses authority by claiming to be from a legitimate company (PayPal)', 'Creates a false sense of urgency with a limited-time offer (account suspension)', 'Contains intentional spelling mistakes (compromized, permanantly)', 'Uses a homograph attack (paypa1 instead of paypal)']"
0,Did you get any gift? This year i didnt get anything. So bad,,,,
1,"Dear customer, your payment of $1000 has been declined by paypál.com. Please click on this link to verify your account information: https://paypa1.com/verify. Failure to do so may result in account suspension. -PayPal Security Team",Phishing,"Authority, Social Engineering",Homograph Attack,"['Uses a sense of urgency to create a false sense of panic', 'Mimics a legitimate company (PayPal) to establish authority', 'Uses a homograph attack (paypa1.com instead of paypal.com) to deceive the victim', 'Asks the victim to click on a suspicious link to steal sensitive information', 'Threatens account suspension to prompt the victim into taking action']"
0,happened here while you were adventuring,,,,
0,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",,,,
0,I'm done oredi...,,,,
0,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",,,,
0,Is there any movie theatre i can go to and watch unlimited movies and just pay once?,,,,
1,Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,,,,
0,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.,,,,
1,Hi there Sir. This is Alex from the customer service team at MUTHOOT Bank. We're pleased to introduce our latest innovation MessageMoney a banking solution accessible through your messaging app. As a special offer you'll receive a gift voucher upon your first usage. Can you please confirm if 7418529630 is the mobile number registered with MessageMoney? Please input your debit card details on the official MessageMoney number for authentication. Thank you. Perfect! Please give me a moment to update your information. You'll soon receive an OTP for MessageMoney activation. Kindly share the OTP with me. Your MessageMoney service is now active and your gift will be dispatched within two days.,,,,
0,S.i'm watching it in live..,,,,
0,I got your back! Do you have any dislikes in bed?,,,,
0,Ok i juz receive..,,,,
0,Are you free now?can i call now?,,,,
0,R we going with the  &lt;#&gt;  bus?,,,,
1,"URGENT! Your mobile No *********** WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm",,,,
0,All will come alive.better correct any good looking figure there itself..,,,,
0,"Dear Customer,your cash withdrawal is declined due to incorrect ATM-PIN INR 2,148.00 Call 24-hour customer care to re-set your credit card ATM-PIN.1009",,,,
0,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,,,,
1,Dear Applicant thank you for joining our agency. We've assessed your CV and are pleased to select you for a work-from-home role. Please share your Aadhaar and PAN card details for verification purposes. Additionally complete the necessary forms and sign documents as per company guidelines. Once all paperwork is completed and your address proof and PAN card details are submitted you can start working from tomorrow. Your login credentials for the www.digitalnomadhub.com portal are included. Please be advised a security deposit of Rs. 12200 is necessary.,,,,
0,From here after The performance award is calculated every two month.not for current one month period..,,,,
0,"alright, I'll make sure the car is back tonight",,,,
0,No my mum went 2 dentist.,,,,
0,"Sorry, I'll call later",,,,
0,"Alert: Your PayPal account has been temporarily restricted due to unusual activity from a remote location. To ensure your security, please log in to your account through our official app or website to review recent transactions and verify your identity.",Phishing,"Scarcity, Using Jargon or Technical Terms","Intentional spelling mistakes, Homograph Attack","['It does not ask for credentials or sensitive information', 'It does not contain intentional spelling mistakes', 'It does not use a suspicious link or domain', 'It advises to use the official app or website', 'It does not create a sense of urgency or panic']"
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,,
0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,,
1,"URGENT: Your Amazon account has been compromised! Click this link to secure your account and receive a 50% discount on your next purchase, valid for the next 24 hours only! https://аmаzоn-secure.com/login",Phishing,"Scarcity, Using Fake Limited-Time Discounts",Homograph Attack,"['Urgency is created to prompt immediate action', 'Fake limited-time discount is used to create a sense of scarcity', 'Homograph attack is used in the URL (аmаzоn-secure.com instead of amazon-secure.com)', 'The message tries to create a sense of panic to trick the user into clicking the link', 'The link is not an official Amazon link']"
0,Paid Rs. 400.65 to ZOMATO LIMITED from Paytm Balance. Updated Balance: Paytm Wallet- Rs 651.87. For more details visit Paytm.com/care.,,,,
1,"Dear Valued Customer, You have been seleced to recieve a excluisve offer from the Federal Trade Commision (FTC). We have been monitering your online activty and beleive you are eligable for a $1000 cash reward. Click on this link to claim your prize: httр://ftc-gov.com/reward",Phishing,"Authority, Making Unsolicited Offers of Exclusive Deals","Intentional spelling mistakes, Homograph Attack","['Authority: The scammer is impersonating a government agency (Federal Trade Commission) to gain trust.', 'Making Unsolicited Offers of Exclusive Deals: The message claims the recipient has been selected for an exclusive offer without any prior interaction.', ""Intentional spelling mistakes: The message contains intentional spelling mistakes (e.g. 'seleced', 'excluisve', 'monitering', 'beleive')."", ""Homograph Attack: The URL 'httр://ftc-gov.com/reward' uses a homograph attack, replacing the 'p' in 'http' with a similar-looking character ('р') to make the URL appear legitimate.""]"
0,How is it possible to teach you. And where.,,,,
0,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,,,,
0,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",,,,
0,I cant pick the phone right now. Pls send a message,,,,
0,User Registration Successful.Your User Id is niteshgoyal13. Mobile verification code is 714927-IRCTC,,,,
0,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,,,,
0,I just cooked a rather nice salmon a la you,,,,
0,"Hi, this is an automated alert from your bank's fraud detection system. We've identified unusual activity on your account. To protect your account, please verify your information by logging into our mobile banking app or visiting our website: bankwebsite.com/security. If you need assistance, call us at 1-800-BANK-123.",Phishing,"Scarcity, Building Rapport",Intentional spelling mistakes,"['It does not create a sense of urgency with threats', 'It does not ask for sensitive information', 'It provides a legitimate way to verify information through a trusted channel', 'It offers a phone number to call for assistance, which can be verified', 'The link provided is a legitimate website domain, not a shortened URL']"
0,"Call me. I m unable to cal. Lets meet bhaskar, and deep",,,,
0,"alright babe, justthought id sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x.",,,,
0,Went fast asleep dear.take care.,,,,
0,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",,,,
0,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",,,,
0,"Hurry up, I've been weed-deficient for like three days",,,,
0,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",,,,
0,Jokin only lar... :-) depends on which phone my father can get lor...,,,,
0,URGENT: We've detected unusual activity on your account! Our security team recommends verifying your info at bankofamerica.com/secure to ensure your account's safety. This offer to review your account details is only available for the next 24 hours!,Phishing,"Authority, Creating a Sense of Limited Time Offer",Homograph Attack,"['The link provided is a legitimate website (bankofamerica.com) and not a homograph attack', 'The message is from a trusted source (Bank of America) and not impersonating an authority', 'The sense of urgency is legitimate and not created to panic the user into taking action', 'The message is informative and transparent about the purpose of the link']"
0,K:)all the best:)congrats...,,,,
0,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks,,,,
0,No da. . Vijay going to talk in jaya tv,,,,
1,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,,,,
0,Just sleeping..and surfing,,,,
0,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,,,,
1,"Hi, sir! I'm calling from JW MARIOTT Corporation. We're pleased to announce a 70% cashback offer on your recent purchase from JW MARIOTT.com. It's a simple procedure, sir. Open the app, and you'll see a pop-up message about the cashback. Kindly enter your UPI PIN for verification.",,,,
0,Guessin you ain't gonna be here before 9?,,,,
0,"No I'm good for the movie, is it ok if I leave in an hourish?",,,,
0,HMM yeah if your not too grooved out! And im looking forward to my pound special :),,,,
1,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,,,,
1,"Hi there, I'm calling from SBI regarding your KYC details. Encountering issues with the website? I can assist by updating your information manually. To proceed, please share your username, password, and OTP for a seamless update.",,,,
0,"Hi, a change request is initiated for your Airtel Black account. We will update you when the request is successfully completed.",,,,
0,"Hi,Nitesh G, a Select Shaadi member has invited you to Connect. Visit https://t.shaadi.com/t/ct1cS and Shaadi.com will help arrange meeting if you Accept.",,,,
1,"Attention valued customer, failure to promptly update your KYC information within the next 48 hours will result in account suspension. Click this link to securely update: bit.ly.go0gleupdate.SBIbank.com.",,,,
1,URGENT: Your account has been compromised! The FBI (fbi.securité.gov) has reported suspicious activity. Click this link to secure your account immediately: https://fbi.securité.gov/login,Phishing,"Authority, Using Manipulative Language",Homograph Attack,"['Uses a sense of urgency to create panic', 'Claims to be from a trusted authority (FBI) to gain trust', 'Uses a homograph attack (fbi.securité.gov instead of fbi.gov) to deceive', 'Asks the user to click on a suspicious link', 'The URL is not an official FBI website']"
0,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,,,,
0,Just haven't decided where yet eh ?,,,,
0,Your OlaMoney Postpaid bill of Rs.259.00 is generated today. Please clear your dues by 24-November-2021 to avoid paying any late fee https://tinyurl.com/sxcas6a,,,,
1,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,,,,
0,Come by our room at some point so we can iron out the plan for this weekend,,,,
1,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p ",,,,
1,URGENT: Your account is at risk of being suspended due to incomplete KYC details. Quickly verify your information by visiting http://verifyKYCnow.SBIbank.com to avoid disruption to your banking services.,,,,
0,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,,,,
0,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT",,,,
0,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.,,,,
0,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! ",,,,
1,Dear Customer we appreciate your interest in our platform. We source our phones directly from manufacturers ensuring the best prices. Allow me to introduce you to our top-selling phone of the year the 620 FE. It's hailed as the finest smartphone on the market. Act swiftly! If you place an order within the next 60 minutes and make full payment you'll receive a generous 60% cashback after the phone's delivery.,,,,
0,Your One Time Password (OTP) for Employee Product Discount scheme is 676150. It is valid for 15 mins. PLEASE DO NOT SHARE THE OTP WITH ANYONE.,,,,
0,Thank you. I like you as well...,,,,
0,"Txn of INR 1,319.86 done on Acct XX929 on 15-Feb-20.Info: MPS*BIKANERWA.Avbl Bal:INR 22,13,613.76.Call 18002662 for dispute or SMS BLOCK 929 to 9215676766",,,,
0,Just glad to be talking to you.,,,,
0,K. I will sent it again,,,,
0,Later i guess. I needa do mcat study too.,,,,
0,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",,,,
0,"EXCITING NEWS! Dwayne 'The Rock' Johnson here! I'm teaming up with VISA to support a charity event! Donate $10 to enter a chance to win 1 of 10,000 $1000 giftcards! Learn more and donate at visa.com/rockforgood [ Limited time offer, hurry! ]",Phishing,"Scarcity, Using Fake Celebrity Endorsements",Intentional spelling mistakes,"[""It's a charity event, not a free giveaway"", 'The link is from a legitimate domain (visa.com)', ""It's transparent about the donation process"", ""It doesn't create a sense of false urgency""]"
0,"Dear, will call Tmorrow.pls accomodate.",,,,
0,Love you aathi..love u lot..,,,,
0,"NOTICE: We've detected unusual activity on your Bank of America account. For your security, please verify your info: https://www.bankofamerica.com/security",Phishing,"Authority, Using Misleading Headlines or Subject Lines",Intentional spelling mistakes,"[""It's from a legitimate source (Bank of America's official domain)"", ""It doesn't create a sense of urgency to panic the user"", ""It doesn't contain intentional spelling mistakes"", 'The link is from a trusted source and not a shortened URL']"
0,No way I'm going back there!,,,,
0,Why don't you wait 'til at least wednesday to see if you get your .,,,,
0,I have printed it oh. So  &lt;#&gt;  come upstairs,,,,
0,Gud mrng dear hav a nice day,,,,
0,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,,,,
1,"Greetings TEAM, I'm an HR executive. You've been chosen for a remote gig. Make up to Rs. 20,000/day.http://wa.me/3333333333. Regards KIWIZEN",,,,
0,"I don't think I can get away for a trek that long with family in town, sorry",,,,
1,Hello Sir. I am calling from the customer care centre of SBI Bank. We are launching a new product MessageApp It's a banking facility that provides 24*7 banking services easily through your MessageApp. You will also receive a gift voucher when you use it for the first time. Please confirm whether 99616616199 is the mobile number registered with MessageApp.Please enter the details of your debit card for verificationYou do not have to share the details with me but enter it only on the official MessageApp number. Great Sir Please wait for 2 minutes I will update your details. You will receive an OTP for activating the Message App banking feature.Please share the OTP. Your MessageApp banking has been activated and you will receive your gift within two days,,,,
1,"URGENT: Your Amazon account has been compromised! Click this link to secure your account now! https://аmаzоn-secure.com (Don't wait, 100s of users have already taken action! 'I was skeptical at first, but this really works!' - Emily R., 'Thanks for saving my account!' - John D.)",Phishing,"Scarcity, Using Fake Reviews or Testimonials",Homograph Attack,"['Uses a sense of urgency to create a false sense of scarcity', 'Uses fake reviews or testimonials to build trust', ""Uses a homograph attack by replacing 'a' with 'а' in the URL to make it appear legitimate"", 'Asks the user to click on a suspicious link', 'Creates a false sense of security by claiming many users have already taken action']"
0,"Hi, Our representative Suraj Singh Panwar tried reaching you on 8527858647 at 2021-09-19 15:09:18.379for your Airtel Broadband request. Please call us back on 07947489146",,,,
0,Hhahhaahahah rofl wtf nig was leonardo in your room or something,,,,
1,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,,,,
0,I am in a marriage function,,,,
0,Just sleeping..and surfing,,,,
0,Are you the cutest girl in the world or what,,,,
0,"Dear valued customer, We've identified an issue with your Apple account and it's been temporarily limited. Please verify your information at https://apple.com/support to reactivate it. - Apple Support Team",Phishing,"Authority, Flattery","Homograph Attack, Intentional spelling mistakes","['The URL is a legitimate Apple domain', ""The message is informative and doesn't create a sense of urgency"", ""The language used is professional and doesn't contain intentional spelling mistakes"", ""The message doesn't ask for sensitive information or login credentials""]"
0,R u in this continent?,,,,
0,Once free call me sir. I am waiting for you.,,,,
1,URGENT: Your Bank Accnt has been compromized! Click here to secure your acount now! https://bit.ly/3xYzWd or els you will loose all your savings! Our team has been trying to reach you but your phone number was not reachable. Please act fast!,Phishing,"Scarcity, Using Manipulative Storytelling",Intentional spelling mistakes,"[""Creates a sense of urgency with 'URGENT' to prompt immediate action"", 'Uses manipulative storytelling by claiming the account has been compromised', ""Includes intentional spelling mistakes ('acount', 'compromized', 'els') to appear legitimate"", 'Asks the user to click on a suspicious link', 'Threatens loss of savings to create fear and anxiety', 'Claims the team has been trying to reach the user to build trust']"
0,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,,,,
0,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,,,,
1,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",,,,
1,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,,,,
0,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,,,,
0,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ,,,,
0,Same as kallis dismissial in 2nd test:-).,,,,
1,"Urgent! Your acc0unt has been seleced for a free 30-day triall of our premium servce! Click here to activ8: http://bit.ly/3xample (hurry, only 24 hrs left!)",Phishing,"Scarcity, Making Unsolicited Offers of Free Trials or Services","Intentional spelling mistakes, Homograph Attack","[""Creates a sense of urgency with 'Urgent' and 'only 24 hrs left' to prompt immediate action"", ""Uses intentional spelling mistakes ('seleced', 'activ8', 'servce') to evade spam filters"", ""Employs a homograph attack with 'acc0unt' to trick users into thinking it's a legitimate message"", 'Makes an unsolicited offer of a free trial to grab attention', ""Uses a suspicious URL ('http://bit.ly/3xample') that may lead to a phishing website""]"
1,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",,,,
0,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,,,,
0,Friends that u can stay on fb chat with,,,,
0,You are not bothering me but you have to trust my answers. Pls.,,,,
0,I can do that! I want to please you both inside and outside the bedroom...,,,,
0,Sat right? Okay thanks... ,,,,
1,"Dear customer, this is an urgent message from the Security Team at Barclaysᵇᴀⁿᴋ (note: the 'a' in bank is replaced with a similar-looking character). We have reason to believe your account has been compromised. Please click on this link to verify your identity and avoid suspension: https://barclaysᵇᴀⁿᴋ.com/verify",Phishing,"Authority, Using Vagueness to Avoid Questions",Homograph Attack,"['Uses a sense of urgency to create panic', 'Claims to be from a trusted authority (Barclays Security Team)', ""Uses vagueness to avoid questions ('we have reason to believe')"", 'Employs a Homograph Attack (ᵇᴀⁿᴋ instead of bank) to make the URL appear legitimate', 'Asks the user to click on a suspicious link', 'The URL is not an official Barclays URL']"
0,Please click the link https://cams.co.in/8FZnKicLyUj & enter PAN/FOLIO NO. to view statement of account for your latest transaction in Folio XXXXX909-SBIMF,,,,
0,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",,,,
0,No no. I will check all rooms befor activities,,,,
0,"Sorry, I'll call you  later. I am in meeting sir.",,,,
0,So that means you still think of teju,,,,
1,"Good day! I'm from JIO Telecom Company. We're pleased to offer you a SIM card upgrade to enhance your internet experience and provide more data. To proceed, we need your Aadhaar Card number and the unique 20-digit SIM card number. Upon verification, reply 'I' to the activation text. Subsequently, you'll receive a payment link on your phone. Please click on it to complete the payment process.",,,,
0,Waiting in e car 4 my mum lor. U leh? Reach home already?,,,,
0,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,,,,
1,URGENT: Your account at paypa1.com has been compromised! Click this link to secure your account and prevent unauthorized transactions: https://paypa1.com/secure,Phishing,"Scarcity, Creating a Sense of Fear",Homograph Attack,"['Uses a sense of urgency to create fear', ""Uses a homograph attack by replacing 'l' with '1' in the URL"", 'Asks the user to click on a suspicious link', 'Claims the account has been compromised without providing any specific details', 'Does not address the user by their name, even though PayPal typically does']"
0,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.",,,,
0,"Ha. You don‘t know either. I did a a clever but simple thing with pears the other day, perfect for christmas.",,,,
1,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",,,,
0,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,,,,
